"RevolvingUtilizationOfUnsecuredLines","age","NumberOfTime30.59DaysPastDueNotWorse","DebtRatio","NumberOfOpenCreditLinesAndLoans","NumberOfTimes90DaysLate","NumberRealEstateLoansOrLines","NumberOfTime60.89DaysPastDueNotWorse","DelIn2Yr"
0,24,0,0,1,0,0,0,"0"
0.661458537,57,0,2305,7,0,1,0,"0"
0.694203864,54,1,1814,5,0,1,0,"0"
0.432152262,35,0,0.519466854,9,0,0,0,"0"
0.203128243,35,0,0.176273458,7,0,0,0,"0"
0.491757289,67,1,1547,8,0,1,0,"0"
0.034771003,63,0,0.054844876,21,0,0,0,"0"
0.386827883,47,0,0.908697101,9,0,1,0,"0"
0.00865862,60,0,0.254183054,7,0,1,0,"0"
0,66,0,0.203472045,6,0,1,0,"0"
0.092697683,44,0,0.692600653,10,0,2,0,"0"
0.15135596,51,0,0.246088468,23,0,1,0,"0"
0.864533867,53,0,0.444681716,7,0,2,0,"0"
0.9999999,41,0,13,0,0,0,0,"0"
0.085104103,38,0,2099,7,0,1,0,"0"
0.400974344,48,2,0.529996572,12,0,1,0,"0"
0.062095731,55,0,4090,10,0,2,0,"0"
0.407359673,51,0,0.4990004,11,0,1,0,"0"
0.03709629,61,0,0.007541995,1,0,0,0,"0"
0.074738275,58,0,0.374635285,5,0,2,0,"0"
0.72859814,53,0,5121,9,0,1,0,"0"
0.418526396,59,0,1.136101499,17,0,2,0,"0"
0.003744721,80,0,0.002090704,13,0,0,0,"0"
0.011556488,58,0,2210,9,0,1,0,"0"
0.811349054,70,2,0.429097606,7,1,1,0,"1"
0.009568252,35,0,1.185773075,13,0,1,0,"0"
0.015698989,61,0,11,3,0,0,0,"0"
0.016381595,51,0,0.339748954,7,0,2,0,"0"
0.9999999,23,1,0,0,0,0,0,"0"
0.440879927,35,0,0.976569822,5,0,2,0,"0"
0.462726965,63,0,2795,13,0,1,0,"1"
0.005873864,64,0,0.166782391,6,0,2,0,"0"
0.006709666,39,0,0.174768654,7,0,1,0,"0"
0.450183272,45,0,0.128450337,2,0,1,0,"0"
0.006688415,53,0,0.169143018,10,0,1,0,"0"
0.001533417,33,2,0.279809786,16,0,2,0,"0"
0.1112722,46,1,0.224888646,9,0,1,0,"0"
0.028177565,33,0,0.538498441,5,0,3,0,"0"
0.9999999,42,0,4424,5,0,2,0,"0"
0.703859228,45,2,0.394699254,5,3,1,3,"1"
0.9999999,58,0,0,0,0,0,0,"0"
0.008266396,39,1,0.502764381,16,0,3,0,"0"
0.045437342,78,0,0.091316932,8,0,1,0,"0"
0.166193924,59,0,0.307775378,15,0,4,0,"0"
0.307478476,44,0,1294,2,0,1,0,"0"
0.083693482,47,0,0.163874821,11,0,1,0,"0"
0.079583387,63,0,2055,17,0,2,0,"0"
0.189212718,39,0,0.517059318,16,0,2,0,"0"
0.001542477,32,0,0.363927917,12,0,1,0,"0"
0.594971221,48,0,58,2,0,0,0,"0"
0.663630166,56,0,0.302815616,10,0,2,0,"0"
0.033245183,47,0,1742,10,0,1,0,"0"
0.0667385,49,1,0.309584727,14,0,2,0,"0"
0.018648847,52,0,0.257092863,5,0,2,0,"0"
0.054503259,31,0,285,5,0,0,0,"0"
0.190564707,61,4,1377,7,0,1,0,"0"
0.9999999,48,0,0.211489426,2,1,1,1,"1"
0.26134417,32,0,0.180876595,5,0,0,0,"0"
0.458424173,59,0,0.587441256,13,0,2,0,"0"
0.052149798,63,0,3094,7,0,2,0,"0"
0.399309314,63,1,0.260680908,11,0,2,1,"0"
0.742844721,44,0,0.910366329,13,0,2,0,"0"
0.277184677,41,1,0.508171505,8,0,1,0,"0"
0.003802494,72,0,0.055804209,16,0,1,0,"0"
0.672994963,79,0,0.194786645,6,0,0,0,"0"
0.9999999,76,1,0.000507357,2,0,0,0,"0"
0.048085775,59,0,0.257368924,11,0,1,0,"0"
0,65,0,0.036997688,8,0,1,0,"0"
0.902529199,24,0,1.766169154,2,1,0,0,"0"
0.9999999,43,0,0,1,0,0,0,"0"
0.67934599,55,0,1.048820852,10,0,1,0,"0"
0.463826569,27,0,0.238723608,8,0,0,0,"0"
0.402235506,56,0,2333,18,0,1,0,"0"
0.014253169,54,0,0.413517297,15,0,1,0,"0"
0.992403039,27,0,0.02961866,3,0,0,0,"0"
0.618732896,68,0,0.534500202,13,0,2,0,"0"
0.654575539,66,1,0.64133829,22,2,1,0,"0"
0.005554784,30,0,0.639623751,10,0,1,0,"0"
0.072771362,45,0,0.085157731,6,0,0,0,"0"
0.075926592,52,0,122,5,0,0,0,"0"
0,55,0,0.718915937,14,0,3,0,"0"
0.030058878,39,0,0.10425226,12,0,0,0,"0"
0.050155546,59,0,0.084761608,8,0,0,0,"0"
0.848191968,51,0,0.147221709,6,1,1,1,"1"
0.337852115,42,0,0.303761819,14,0,2,0,"0"
0.988687007,46,0,0.47656648,5,4,0,2,"1"
0.049186325,45,0,0.183070866,6,0,0,0,"0"
0.720913006,63,0,0.875024995,12,0,0,0,"0"
0.023245244,73,1,0.247160454,10,0,1,0,"0"
0.021134377,58,1,0.157605299,6,0,1,0,"0"
0.284333538,68,0,0.478822032,14,0,2,0,"0"
0,44,0,0.002707769,9,0,1,0,"0"
0.024661927,51,0,1968,6,0,2,0,"0"
0.131721459,53,1,0.33063537,8,0,1,0,"0"
0.053331801,42,0,2912,12,0,2,0,"0"
0.053928549,41,0,0.507457569,8,0,3,0,"0"
0.009672445,70,0,2894,6,0,2,0,"0"
0.315487221,59,0,0.204498978,5,0,0,0,"0"
0.114118118,54,0,0.656862745,3,0,0,0,"0"
0.065480853,35,0,0.548187445,10,0,2,0,"0"
0.9999999,47,0,0.356586443,8,1,2,0,"0"
0.9999999,34,1,0.269558482,1,0,0,0,"0"
0.48202681,49,0,0.350340136,6,0,1,0,"0"
0.008354569,74,0,0.493182478,10,0,1,0,"0"
0.522616679,46,0,0.257429134,13,0,2,0,"0"
0.031825394,45,0,0.01032989,3,0,0,0,"0"
0.9999999,61,0,0.004057736,4,0,0,0,"0"
0.336850768,67,0,0.298203135,7,0,1,0,"0"
0.415106625,45,0,0.309626074,7,0,1,0,"0"
0.015716907,60,0,0.18025617,4,0,1,0,"0"
0.024318154,67,0,0.003636033,6,0,0,0,"0"
0.014499091,62,0,943,10,0,1,0,"0"
0.025955299,67,0,0.00553761,2,0,0,0,"0"
0.210842596,49,0,0.674865027,21,0,4,0,"0"
0.042456024,73,0,81,8,0,0,0,"0"
0.497302379,68,0,0.387250154,27,0,2,0,"0"
0.058455115,84,0,0.005767013,2,0,0,0,"0"
0.670528338,71,2,0.782880724,23,0,3,0,"0"
0.266173383,63,0,0.350839724,7,0,2,0,"0"
0.9999999,56,0,0.201236139,5,0,1,0,"0"
0.023464599,25,0,0.001071046,1,0,0,0,"0"
0.020357062,72,1,0.170968949,12,0,1,2,"1"
0.9999999,92,0,0,1,0,0,0,"0"
0.057865096,36,0,48,6,0,0,0,"0"
0,64,1,0,6,0,0,0,"0"
0.15275572,32,0,0.04014767,7,0,0,0,"0"
0,47,0,0.389569257,6,0,1,0,"0"
0,55,1,0.32482097,14,0,0,1,"0"
0.122187781,78,0,36,4,0,0,0,"0"
0.031648766,73,0,0.003839026,7,0,0,0,"0"
0.946381055,54,0,1.509787354,19,0,3,0,"0"
0.135427715,48,0,0.497916432,20,0,2,0,"0"
0.051564948,86,0,1034,9,0,1,0,"0"
0,60,0,1107,5,0,1,0,"0"
0.02369921,63,0,0.005725191,3,0,0,0,"0"
0.9999999,61,0,0.138536221,1,5,0,0,"0"
0.359281437,22,0,0.00998004,1,0,0,0,"0"
0.127946946,29,0,0.219911147,11,0,0,0,"0"
0.941547454,50,4,1360,8,0,0,2,"1"
0.970140845,44,0,0.643106457,5,0,1,0,"0"
0.00662868,49,0,0.638040218,17,0,3,0,"0"
0,63,0,5797,6,0,2,0,"0"
1029,71,0,30,4,0,0,0,"0"
0.114263794,59,0,0.400258023,20,0,2,0,"0"
0.008330837,81,0,17,3,0,0,0,"0"
0.208850213,59,1,0.444505798,7,0,1,1,"0"
0.070954979,70,0,0.713676353,6,0,2,0,"0"
0.263062831,38,0,0.274597731,4,1,1,1,"0"
0.057811792,42,0,0.591467931,17,0,0,0,"0"
0.459495282,62,0,0.306891092,16,0,2,0,"0"
0.047288554,28,0,358,4,0,0,0,"0"
0,49,0,5.83908046,13,0,10,0,"0"
0.344721128,49,0,0.348680117,9,0,2,0,"0"
0.293748933,51,2,0.042971075,5,0,0,0,"0"
0,36,0,0.147459039,7,0,0,0,"0"
0.9999999,38,1,0.063860668,2,0,0,0,"0"
0.577919961,41,0,1.23939171,15,0,4,0,"1"
0.959558082,70,0,0.331310066,6,0,1,0,"0"
0.847604109,60,0,1018.5,20,0,0,0,"0"
0.002736503,77,0,0.000653595,5,0,0,0,"0"
0,64,0,0.329397444,3,0,1,0,"0"
0.845158399,50,0,0.267676046,7,0,0,0,"0"
0,49,0,0.094277357,9,0,1,0,"0"
0.010599697,70,0,0.14737124,7,0,1,0,"0"
0.03858761,54,0,0.005279578,3,0,0,0,"0"
0.232464644,39,0,0.165434021,6,0,0,0,"0"
0.680463907,47,2,0.260028653,7,0,1,2,"0"
0.006891076,87,0,0.005994006,10,0,0,0,"0"
0.431966772,33,0,0.289386007,5,0,0,0,"0"
0.041511552,48,0,0.205504741,14,0,1,0,"0"
0.096440873,33,0,0.300539892,13,0,0,1,"0"
0.960053262,23,0,21,1,0,0,0,"0"
0.00723298,85,0,0.001999334,7,0,0,0,"0"
0.005871921,42,1,0.274589829,15,0,3,0,"0"
0.023221362,77,0,0.254728878,7,0,1,0,"0"
0.299605833,35,0,2992,10,0,2,0,"0"
0.149700599,54,0,0.450010524,11,1,1,1,"0"
0.024315419,87,0,109,5,0,0,0,"0"
0.04734374,55,2,0.457831325,11,0,5,0,"0"
0.045727258,88,0,25,3,0,0,0,"0"
0.000211636,43,0,1.030903472,8,0,4,0,"0"
0.10229683,40,0,0.466301193,7,0,2,0,"0"
1.038580118,55,1,0.821978022,7,4,1,0,"1"
0.9999999,31,0,0.232683983,12,0,1,0,"0"
0.307838167,58,7,0.469912103,17,0,2,2,"0"
0,41,0,0.232538373,10,0,1,0,"0"
0.03824044,41,0,1393,4,0,1,0,"0"
1.10167582,54,0,0.121319853,4,3,0,0,"1"
0.028032399,60,0,0.286182593,7,0,1,0,"0"
0.110923834,50,0,0.639222176,21,1,1,0,"0"
0.228835768,62,0,0.36699117,14,0,2,0,"0"
0.502386286,51,0,0.782363497,11,0,1,2,"0"
0.009004364,75,0,60,10,0,0,0,"0"
0.063496825,26,0,38,7,0,0,0,"0"
0.9999999,30,0,0.004876463,0,1,0,0,"0"
0.961050589,37,0,2362,10,0,1,0,"0"
0.270690977,48,0,0.055194481,7,0,1,0,"0"
0.015942402,65,0,1187,8,0,1,0,"0"
0.230725642,63,0,0.345456818,5,0,2,0,"0"
0.076541347,33,0,0.256794175,21,0,1,0,"0"
0.047815692,48,0,0.305029995,8,0,1,0,"0"
0.078271541,69,0,1408,9,0,1,0,"0"
0.9999999,23,0,25,1,1,0,0,"1"
0.729626588,60,0,0.602799067,8,0,0,0,"0"
0.123256311,57,0,0.497370565,8,0,2,0,"0"
0,47,0,0.447872838,7,0,1,0,"0"
0.065763164,81,0,0.098392129,8,0,1,0,"0"
0.061580767,52,0,0.001280333,4,1,0,0,"0"
0.471165011,47,1,0.892116183,6,0,2,0,"0"
0.9999999,51,0,0,1,0,0,0,"1"
0.000590257,53,0,0.380231017,8,0,1,0,"0"
0.942152276,57,4,0.866853259,11,1,1,3,"0"
0.349108091,37,0,0.296106493,7,0,2,0,"0"
0.874707509,64,0,0.079970381,9,0,0,0,"0"
0.203161192,44,2,0.642339415,35,0,2,0,"0"
0.049486598,58,0,0.042799509,3,0,0,0,"0"
0.00487167,63,0,0.107987044,9,0,2,0,"0"
0.147259112,40,0,0.525158281,7,0,1,0,"0"
0.002482181,65,0,0.538101243,9,0,1,0,"0"
0.14344333,58,0,0.664131812,5,0,1,0,"0"
0.051855752,29,0,0.016284939,22,0,0,0,"0"
0.624440332,57,0,0.16524808,4,1,0,0,"0"
0.05527725,48,1,0.329683409,13,0,1,0,"0"
0.182487464,41,0,0.084928106,13,0,0,0,"0"
0.031366707,32,0,0.280456195,11,0,0,0,"0"
0.217285787,41,0,0.915167095,10,0,1,0,"0"
0.245250317,52,0,0.42002064,7,0,1,0,"0"
0.9999999,41,0,0.061292472,1,2,0,0,"1"
0.9999999,55,0,0.237097939,10,0,1,0,"0"
0,35,0,0,2,1,0,0,"1"
0.896983107,33,0,0.531688643,8,0,1,0,"0"
0.9999999,69,0,0.284673618,6,0,2,0,"0"
0.197312538,42,0,0.160147889,6,0,1,0,"0"
0.095780844,67,0,2565,6,0,1,0,"0"
0.961618682,53,1,0.913139124,15,1,3,1,"0"
0.599700025,30,0,0.185185185,4,0,0,0,"0"
0.027757011,51,0,0.243322519,19,0,1,0,"0"
0.032502656,58,0,0.233035595,16,0,3,0,"0"
0,45,1,0.459294813,16,0,3,0,"0"
0.003604,64,0,0.407647526,11,0,2,0,"0"
0.190591881,58,0,0.289176866,4,1,1,0,"0"
0.892086331,35,1,0.195155393,4,1,0,0,"0"
0.099426567,40,0,0.007749031,4,0,0,0,"0"
0.879941337,36,0,0.502,6,0,2,0,"0"
0.615972526,42,0,0.273454952,9,0,1,0,"0"
0.097388346,58,0,1765,14,0,1,0,"0"
0.790131168,22,0,0.054854981,4,0,0,0,"0"
0.422262624,57,0,0.160347384,13,0,1,0,"0"
0.431022759,48,0,323,1,0,0,0,"0"
0.953868204,47,0,0.866783304,12,0,1,0,"0"
0.9999999,51,0,0.004142265,1,0,0,1,"1"
0.30409951,60,0,0.172755418,5,0,0,0,"0"
0.067761654,53,0,0.874309655,21,0,1,0,"0"
0.004534778,62,0,0.237533998,5,0,1,0,"0"
0.011200309,61,0,0.271838692,15,0,2,0,"0"
0,71,0,139,4,0,0,0,"0"
0.416252073,59,0,0.044796018,5,0,0,0,"0"
0.048608727,62,0,0.591764183,14,0,2,0,"0"
0.326516701,75,1,0.410104688,10,0,2,0,"0"
0.072690414,58,0,0.099531482,9,0,2,0,"0"
0.479778657,61,0,0.372490927,16,0,2,0,"1"
0,29,0,1054,5,0,1,0,"0"
0.93407733,47,0,0.379927503,10,0,2,0,"0"
0.339021615,56,2,1460,10,0,2,0,"0"
0.051372859,34,0,0.048671402,4,0,0,0,"0"
0.571870705,39,0,0.251087446,10,0,1,0,"0"
0.9999999,44,0,0.07863724,2,2,0,0,"1"
0,55,0,0,2,0,0,0,"0"
0.261370606,55,0,0.687802908,11,0,2,0,"0"
0.051847408,62,0,1530,5,0,1,0,"0"
0.640871826,69,0,0.775257188,7,0,1,0,"0"
0.523483234,40,1,0.345670292,8,0,0,0,"0"
0.054604465,74,0,0.163626798,10,0,0,0,"0"
0.24485423,47,0,0.352941176,6,0,2,0,"0"
0,66,0,0.151525659,2,0,0,0,"0"
0.319361277,22,0,0.00111576,1,0,0,0,"0"
0.785447039,66,1,0.93786063,4,0,2,0,"0"
0.039517308,44,0,510,15,0,1,0,"0"
0.681647737,52,0,0.390801314,8,0,1,0,"0"
0.167820415,72,0,0.120809899,5,0,0,0,"0"
0.331857323,36,0,0.097424412,5,0,0,0,"0"
0.042045617,49,0,0.075974675,3,0,0,0,"0"
0,61,0,0,1,0,0,0,"0"
0.748938864,33,0,0.706626083,10,0,2,0,"0"
0.970562355,40,2,0.369506353,8,0,1,0,"1"
0.175386172,46,0,0.1852196,5,0,2,0,"0"
0.293981033,36,0,0.159113013,10,0,0,0,"0"
0.640563821,31,0,0.213901531,4,0,0,0,"0"
0.049525354,26,0,0.128967758,5,0,0,0,"0"
0.9999999,29,0,266,2,0,0,1,"0"
0.084145793,55,0,2159,13,0,1,0,"0"
0.293223058,49,0,0.317433868,20,0,1,0,"0"
0.773438472,45,0,2424,9,0,1,0,"0"
0.055637774,76,0,44,2,0,0,0,"0"
0.231914631,34,0,0.254478793,6,0,2,0,"0"
0.316971774,53,0,0.339040611,10,0,1,0,"0"
0.071505824,66,0,0.204191778,11,0,2,0,"0"
0.153717975,36,0,0.56264412,4,0,0,0,"0"
0.131316739,42,0,0.075191225,5,0,0,0,"0"
0.198773497,52,0,0.348192897,3,0,1,0,"0"
0.879424115,36,1,0.379405149,3,1,1,1,"1"
0.473918776,40,0,0.531786199,13,0,4,0,"0"
0.105141465,42,0,0.438832859,17,0,5,0,"0"
0.210093311,73,0,0.093229216,15,0,0,0,"0"
0.193595223,62,0,0.322337019,7,0,1,0,"0"
0.082650328,69,0,0.060842434,10,1,0,0,"0"
0.9999999,60,1,0.327843738,2,0,1,0,"1"
0.515930407,53,0,0.931013797,14,0,3,0,"1"
0.037398408,60,0,0.118500963,10,0,0,0,"0"
0.944384756,34,4,0.413171081,6,1,1,1,"1"
0.143310388,47,0,5425,15,0,3,0,"0"
0.741576254,72,2,0.355011599,9,0,2,0,"0"
0.005096445,60,0,0.023224308,4,0,1,0,"0"
0.340787608,40,0,0.146723371,5,0,0,0,"0"
0.030684365,37,1,5,2,0,0,0,"0"
0.082476701,42,0,0.882547496,8,0,5,0,"0"
0.396255211,32,0,0.244972578,5,0,0,0,"0"
0.181456886,63,0,1234,6,0,1,0,"0"
0.153464287,41,0,0.329958755,9,0,1,0,"0"
0.063516957,47,0,2954,2,0,1,0,"0"
0.109342966,63,1,233,8,0,0,0,"0"
0.971757475,41,0,0.447413165,9,0,1,0,"0"
0.9999999,52,1,0.339584996,3,0,1,0,"0"
0.329978001,42,0,0.510590712,12,0,4,0,"0"
0.07563111,43,0,0.238251501,12,0,2,0,"0"
0.256327786,39,1,548,5,0,0,0,"1"
0.142857143,36,1,1545,5,0,1,0,"0"
0.022037749,86,0,0.012395042,12,0,0,0,"0"
0.613469063,65,0,0.714359437,8,0,3,0,"0"
0.028218779,77,0,0.023018572,4,0,0,0,"0"
1.036088759,42,3,0.364059718,5,1,1,2,"0"
0.112730371,57,0,0.609820641,5,0,1,0,"0"
0.004311113,46,0,0.353835151,10,0,2,0,"0"
0.892351643,72,1,0.415973378,2,0,0,1,"0"
0.936589546,69,1,0.237442922,6,2,0,0,"0"
0.563973593,39,0,0.578488787,18,0,1,0,"0"
0.509549682,64,0,0.2389047,9,0,2,0,"0"
0.082587155,69,0,0.132495717,10,0,0,0,"0"
0.079270595,78,0,0.226733292,15,0,0,0,"0"
0.069032157,43,1,0.380534415,9,0,2,0,"0"
0.6255276,57,0,0.810077229,18,0,4,0,"0"
0.021362889,37,0,1.020465773,5,0,1,0,"0"
0.955852207,67,0,0.491300565,4,0,1,0,"0"
0.6558303,60,0,0.335896943,11,0,1,0,"0"
0.267584412,26,0,0.16748112,11,0,0,0,"0"
0.9999999,66,0,0.145917639,2,0,1,0,"0"
0.043702614,71,0,0.155032854,12,0,2,0,"0"
0.093306714,32,0,0.054770702,7,0,0,0,"0"
0.204930994,60,0,0.393372375,20,0,2,0,"0"
0.440194976,36,0,0.696624644,5,0,1,0,"0"
0.138374363,49,0,2162,6,0,2,0,"0"
0.132315282,52,0,1249,16,0,1,0,"0"
0.9999999,57,0,0.029492627,0,0,0,0,"0"
0.74152154,38,0,1927,2,0,1,0,"0"
0.853431046,70,0,0.281919452,7,0,0,0,"0"
0.094397567,59,0,0.077324742,9,0,0,0,"0"
0.545252246,53,1,0.114784695,4,0,0,0,"0"
0.430911764,30,0,0.514045481,12,0,1,0,"0"
0.071464268,25,0,0.605780347,3,0,0,0,"0"
0.505256669,44,0,0.597013524,9,0,2,0,"0"
0.114139662,63,0,0.114930991,6,0,1,0,"0"
0.390524791,47,0,2798,4,0,1,0,"0"
0.051508046,66,0,0.1485701,5,0,1,0,"0"
0,34,0,0.434477168,5,0,1,0,"0"
0.210737923,51,0,0.094823416,5,0,0,0,"0"
0.041150826,56,0,588,11,0,0,0,"0"
0.051626977,47,1,0.117868486,15,1,0,0,"0"
0.113465204,72,0,113,21,0,0,0,"0"
0.516462002,46,0,0.016626445,18,0,0,0,"0"
0.262707627,38,0,0.51105097,10,0,1,0,"0"
0.007782756,88,0,14,5,0,0,0,"0"
0.049298357,64,0,281,7,1,0,0,"0"
0.156005615,58,0,0.297617064,12,0,0,0,"0"
0.029214723,56,0,0.213864026,6,0,1,0,"0"
0.712657469,36,0,0.217106984,8,0,0,0,"0"
0.367846027,50,0,0.757045057,26,0,3,0,"0"
0.132173565,37,0,27,5,0,0,0,"0"
2773,60,0,0.341013825,9,0,2,0,"0"
0.029123896,37,0,0.206802228,10,0,3,0,"0"
0.9999999,45,0,0.435990003,2,2,1,1,"1"
0.9999999,44,0,0.075420673,1,1,0,0,"0"
0.003573238,50,1,0.52218909,8,0,2,0,"0"
0.346564654,56,0,3.985467757,12,0,3,0,"0"
0.032858541,62,0,2163,10,0,1,0,"0"
0.509630937,45,0,857,8,0,0,0,"0"
0.015547384,66,1,2898,6,0,2,0,"0"
0.049892111,32,0,0.247408518,5,0,1,0,"0"
0,73,0,0.000410804,4,0,0,0,"0"
0.043121329,57,0,1.078407153,21,0,14,0,"0"
0.00327626,68,0,86,6,0,0,0,"0"
0.61479815,33,0,0.415336134,6,0,1,0,"0"
0.335732853,46,0,3331,11,0,1,0,"0"
0.039838623,82,0,0.294772922,11,0,1,0,"0"
0.452353927,44,0,0.888069935,11,0,3,0,"0"
0.304517771,36,0,0.449635324,9,0,1,0,"0"
0.135508953,32,0,0.641452849,10,0,1,0,"0"
0,77,0,22,3,0,0,0,"0"
0.091538169,40,0,0.51143607,4,0,1,0,"0"
0.436500266,40,0,0.481268764,13,0,2,0,"0"
0.013252999,45,0,0.387598387,8,0,1,0,"0"
0.9999999,51,0,0,0,0,0,0,"1"
0.853536092,55,0,0.16603922,10,0,0,0,"0"
0.9999999,50,0,0,0,0,0,1,"0"
0.009193011,36,0,0.30394493,9,0,2,0,"0"
0.004678756,74,0,29,3,0,0,0,"0"
0.45711431,65,0,0.66651439,18,0,2,0,"1"
0.010566314,62,0,2198,9,0,1,0,"0"
0.078331864,66,0,0.261851405,16,0,1,0,"0"
0.105117964,70,1,3760,5,0,2,0,"0"
0,40,0,0.449571133,2,0,1,0,"0"
0.033237299,62,0,0.118470382,5,0,0,0,"0"
0.011259965,79,0,1.272345531,13,0,0,0,"0"
0.363377543,30,1,0.390191898,5,0,0,1,"0"
0.070532158,76,0,0.313336092,12,0,1,0,"0"
0.095059216,63,0,2173,11,0,1,0,"0"
0.363472729,70,1,0.829610951,19,0,2,0,"0"
0.9999999,57,0,0,3,0,0,0,"0"
0.022255555,40,4,0.026303646,16,0,0,0,"1"
0.013545279,43,0,1.889858233,16,0,2,0,"0"
0.983077574,60,0,0.506582412,6,0,0,0,"0"
0.980364156,43,0,0.448189763,3,0,0,0,"0"
0.50440939,31,1,0.363696956,7,0,1,0,"0"
0.00633607,66,0,0.147672094,13,0,0,0,"0"
0.011542942,72,0,22,6,0,0,0,"0"
0.075328533,81,0,69,8,0,0,0,"0"
0.08062332,46,0,0.278072193,4,0,2,0,"0"
0.082748731,68,1,0.52298036,8,0,1,0,"0"
0.974010396,63,0,0.902138691,5,0,1,1,"1"
0.385129028,40,0,1.121651786,9,0,2,0,"0"
0.925074925,32,3,0.593550806,2,0,1,0,"0"
0.276821682,50,0,0.283738001,11,0,2,0,"0"
0.005299956,62,0,0.002713898,10,0,0,0,"0"
0.067186299,66,0,0.277367547,16,0,2,0,"0"
0,75,0,0.044471955,3,0,1,0,"0"
0.012577258,71,1,0.090202177,9,0,0,0,"0"
0.159789347,56,0,1706,2,0,1,0,"1"
0.005587463,45,0,0.054412974,9,0,0,0,"0"
0.008033887,55,0,0.25694861,19,0,2,0,"0"
0.002946357,68,0,0.281227695,12,0,1,0,"0"
0.109950004,58,0,392,8,0,0,1,"0"
0.9999999,72,0,1037,4,0,1,0,"0"
0.027917136,49,0,0.00479904,4,0,0,0,"0"
0.768792211,41,0,2010,12,0,1,0,"0"
0.020309701,42,0,0.571809397,8,0,2,0,"0"
0.790384478,86,0,0.820897388,19,0,3,0,"0"
